iter	MultiClass
0	1.955251311
1	1.768133371
2	1.61441153
3	1.4920127
4	1.397738127
5	1.315846889
6	1.255820678
7	1.205036359
8	1.149405372
9	1.097419514
10	1.054431443
11	1.019974695
12	0.9803745982
13	0.9479407379
14	0.9181870838
15	0.8955202572
16	0.8709390362
17	0.848722863
18	0.8284966526
19	0.8089941814
20	0.7909035739
21	0.7766676482
22	0.7605533623
23	0.7451376737
24	0.730790703
25	0.718499688
26	0.7061820916
27	0.6961836273
28	0.6847541989
29	0.6756845707
30	0.6662534475
31	0.6573028399
32	0.6500792648
33	0.6432312554
34	0.6354798775
35	0.6269291665
36	0.6196133051
37	0.614988105
38	0.6098271387
39	0.603643878
40	0.5980130035
41	0.5913546551
42	0.5860725708
43	0.5809770344
44	0.575244222
45	0.5702106275
46	0.5662557627
47	0.5624059174
48	0.5573142107
49	0.5529744597
50	0.5485713284
51	0.5439184553
52	0.5387524157
53	0.5358100553
54	0.5325532553
55	0.5292309698
56	0.5253363417
57	0.5221989499
58	0.5190917436
59	0.5158757924
60	0.5132615085
61	0.5101790626
62	0.5077112264
63	0.5041238452
64	0.5023232286
65	0.4995864151
66	0.4972419828
67	0.4943665456
68	0.4923835093
69	0.4899506118
70	0.4878306169
71	0.4846577328
72	0.4829049662
73	0.4810332339
74	0.4781604112
75	0.4760826941
76	0.474023118
77	0.4718319714
78	0.4699688432
79	0.4678856026
80	0.4657545771
81	0.4636923527
82	0.4616428023
83	0.4602314157
84	0.4584604533
85	0.4571178974
86	0.4552275793
87	0.454074183
88	0.4526032314
89	0.4506482118
90	0.4491326494
91	0.447316483
92	0.4457671913
93	0.4439766901
94	0.442207733
95	0.4403188934
96	0.4386043734
97	0.4367192562
98	0.4348373643
99	0.4332998256
100	0.4318166491
101	0.4302960326
102	0.4283097235
103	0.4270678472
104	0.425644172
105	0.4245950887
106	0.4232332552
107	0.4220051479
108	0.4208143246
109	0.4198136675
110	0.4188801108
111	0.4178771491
112	0.4167661097
113	0.4160055692
114	0.4149714396
115	0.4138225381
116	0.4125277172
117	0.4115549185
118	0.4103254496
119	0.4090724379
120	0.4082194144
121	0.4073957878
122	0.4061851889
123	0.4048510961
124	0.4035801278
125	0.4023995838
126	0.4015189694
127	0.4008764145
128	0.3998757383
129	0.3989732887
130	0.3980195394
131	0.3973705694
132	0.3968752948
133	0.39594617
134	0.3947658942
135	0.393533653
136	0.3924976378
137	0.3917523005
138	0.3912820214
139	0.3908652418
140	0.3903009348
141	0.3894493197
142	0.3886441451
143	0.38789804
144	0.3869106562
145	0.385921022
146	0.3850657911
147	0.3843484293
148	0.3833947628
149	0.3829803723
150	0.3823955898
151	0.3817554362
152	0.381085196
153	0.3803371455
154	0.3795520888
155	0.3789709703
156	0.3781064881
157	0.3777875437
158	0.3773381018
159	0.376393884
160	0.3756848112
161	0.374799542
162	0.3737595005
163	0.3729488453
164	0.3722081846
165	0.3711484541
166	0.3706530737
167	0.3701267745
168	0.3692468774
169	0.3686948804
170	0.367548618
171	0.366704957
172	0.3661608837
173	0.3655741673
174	0.3646604884
175	0.3640594162
176	0.3635499051
177	0.3624882606
178	0.3619300202
179	0.3612494323
180	0.3607301403
181	0.3604021171
182	0.3597036339
183	0.3586764452
184	0.3579729094
185	0.3573426287
186	0.3565396214
187	0.3559799627
188	0.3556295124
189	0.3548537316
190	0.3542798842
191	0.3537962259
192	0.3532489814
193	0.35260876
194	0.3518757712
195	0.3511913041
196	0.3505534383
197	0.3502492459
198	0.3497121641
199	0.3491165913
200	0.3484772589
201	0.347912882
202	0.3472645649
203	0.346723944
204	0.3460987865
205	0.3453070825
206	0.3448450414
207	0.3441286588
208	0.3438710838
209	0.3435559732
210	0.3428189578
211	0.3421546946
212	0.3419157409
213	0.341611457
214	0.3411787615
215	0.3407246568
216	0.3405404925
217	0.3402369758
218	0.3396341716
219	0.3391453191
220	0.338597171
221	0.3379607368
222	0.3374003688
223	0.3370239161
224	0.3365394518
225	0.3360964241
226	0.3356843827
227	0.3352863223
228	0.3348307266
229	0.334514115
230	0.3341254379
231	0.3336784086
232	0.3333322213
233	0.3327455128
234	0.3325066769
235	0.3322754306
236	0.3318565822
237	0.3312847527
238	0.3310021778
239	0.3306023092
240	0.3300451437
241	0.3296554522
242	0.3291121266
243	0.3283907754
244	0.3278903542
245	0.3276670524
246	0.3270607548
247	0.326629303
248	0.326294983
249	0.3260296359
250	0.3256230798
251	0.3251001588
252	0.3245794073
253	0.3241729036
254	0.3237887148
255	0.3233814783
256	0.323076558
257	0.3228461115
258	0.3225004683
259	0.3223526387
260	0.321892642
261	0.3215301606
262	0.3210593819
263	0.3206569217
264	0.3204457583
265	0.3198095743
266	0.3195952112
267	0.3193639851
268	0.319061149
269	0.3187926489
270	0.3183129786
271	0.3180108505
272	0.3177580747
273	0.3173602172
274	0.3171818522
275	0.316897866
276	0.3166478013
277	0.3159154619
278	0.315693783
279	0.3152428561
280	0.3148047099
281	0.3142515035
282	0.3139214999
